id	name	followers
5v5S1It3qh2HHacQj24HO2	林宇中	8920
0DWWSyvxMZsIyOTdcwHCPY	Y2j	6259
2vRNbO0y4DgqQOEEhRSqdI	Bae Lin	5342
48l8jtSyFSYXH3vYW7Tmog	Yvonne	5218
4sc7o9b6mQGlkR13bJrimf	許景淳	5257
2KdnPDVFj8F2uhqgeMHXea	林強	13174
4AE9UvIgRMVyer36SZhs8S	侯湘婷	6400
5jZkkQlg3sVBkz7iqR5O5a	蔡秋鳳	15922
0xvPxLJDw3DPNZZkp8u2Tk	Butterworks	5893
6wTPezopXKVeqtnQVmst6l	文章	406
3YBu0JqKn8W63SHCeFDmZr	紫薇	378
1qCOBZplMcXhK9wxsg7QMY	潘裕文	4223
7CnsqiETLr3Wvvdx6CJCoD	周治平	952
1YruG0hQGGi1PodfF208HA	李壽全	1774
4uwzFYQujZPB6R2RUUadT2	新寶島康樂隊	8081
7H6h9MXX9ms8IV2QGLrQSp	五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩)	12474
6GUGvmk5XZesTWRQdkp69u	Energy	2590
1sf2SJLu6xffgnxIkKgERX	陳思安	4198
4jC2S13tMZQ19PBlAJTmeY	Meeia Foo	3862
4xrtpNTYCptiF589wuFr0w	黃韻玲	3068
0dtFmEjSLL7wDuQbT9gk6Z	曾淑勤	1681
1UNOY3dAQNyGAIyixjq1mW	Qian Bai Hui	567
2qO2tbo4OI29yMSM3WJ0bX	NEKO Highway	2208
3CnKSFxidjL6NJ4A51urPY	藍心湄	2019
4t7teIXpCaLft2dsqvsn2y	高明駿	1180
7jUYaw1IyegjrwDNXzr7Qh	美黛	2279
0BTV4mFPiZuW87srWJSPze	曾心梅	4827
12QGPbN0fnuIlyEKxUlVo3	小安	3216
1AXBUAKorwcXfesS9xj5m5	陳威全	1591
2Ocwv3cMmFh87FGTrp11Rl	FeiFei Ou-Yang	14525
0x1cerphBlEKCJL8Mqs6y3	Quarterback	15209
4nJSlwFDAtGvoNW8cmvacD	Hsiao Hung-Jen	14632
6vypgNeJSC6ipU9mVO1J2Q	演唱：蘇打綠	6007
2vL4i9Q9XBUFesjcAXKfKU	朱主愛	2574
3982tfZyEQJPkpTq4meVdN	銀霞	103
5h4JXGFKmlIEInbDcHAHw3	毛阿敏	1893
7DrpRXlBNJQINb83lJf3i3	芝麻 & 龍眼	3852
2CU2lSPK28TDbkHRNvM5Ms	黃妃	20431
32TXDhqWqgiFdhuK3xo43R	沈文程	9770
7uzUuvl79ISbTXl2C7P5pu	詹雅雯	22456
3R2z09PdtoTVK9Jxtcw7Yh	黃舒駿	4672
4bVxHB0TT1Fp5TydNm0uzJ	王新蓮	405
7JoEoIHznUB9nW5imSlFRu	梁文福	2833
0SueX3F8oyrlVY4i8JB6Lb	Ruth Kueo	2528
4LHY1eahUKoXxEdfSOtyL5	鄭華娟	679
4ySVIavFVnTbDRVIlGvlY9	黃仲崑	372
5HsmIseCxfuDImdjum6W4C	Bell宇田	3116
2TV5kTtOMMDLOmxjJeblD8	陳芬蘭	2431
5M34Loek1VE6C2coN9ch5P	于台煙	207
1FnXdcrVS4P3DLUiDbohHB	Chen Lei	10655
3YJXJABOwuadyp7MPN9wbi	龔詩嘉	565
3Sm99iHB2fHn7e9a4me9Go	沈雁	1268
66XYQco00dmYoJAxJfE5gQ	葉佳修	2378
4T3ANpFPHoSPqlfAaSFP1I	江玲	2366
0VJ9ADgd3plPDGavzvvUEj	高凌風	1121
4HSNlnxUGI3Rev92Ja7Ol2	Jeric	865
65vGP1LsuRkXkDejpfsvnn	Wu Jia Hui	1448
76VXzM3ZwArGLOJhqWUDP4	Shio	1279
7hnfNQt1Yh4Wp4kSo4ezUZ	Aggylow	819
3DmJsSjFPH1DSpSoZtSBqn	郭金發	1732
